name,sigla,state
Abeu - Centro Universitario,Uniabeu,Rj
Academia Da Forca Aerea,Afa,Null
Academia Da Policia Civil Do Estado Da Bahia,Acadepol,Ba
Academia De Policia Militar,Apm,Ba
Academia De Policia Militar De Minas Gerais,Apm,Mg
Academia De Policia Militar Do Barro Branco,Apmbb,Sp
Academia De Policia Militar Do Espirito Santo,Apm/Es,Null
Academia De Policia Militar Dom Joao Vi,Apmdjvi,Rj
Academia Judicial Do Tribunal De Justica De Santa Catarina,Aj,Sc
Academia Militar Das Agulhas Negras,Aman,Rj
Academia Militar De Agulhas Negras,Aman,Rj
Academia Nacional De Policia - Anp,Anp,Df
Ajes - Faculdade Do Vale Do Juruena,Ajes,Mt
Alfa - Faculdade De Teofilo Otoni,Alfa - To,Mg
Anhanguera Educacional,Aesa,Sp
Anhanguera Educacional S.A.,Unianhanguera,Rs
Associacao Catarinense De Ensino,Ace,Sc
Associacao De Ensino Superior Do Piaui,Aespi,Pi
Associacao Sul Mineira De Educacao E Cultura,Asmec,Mg
Associacao Vilhenense De Educacao E Cultura,Avec,Ro
Avm - Faculdade Integrada,Iavm,Rj
Brain Business School,Brain,Sp
Business School Sao Paulo,Bsp,Sp
Catolica Nossa Senhora Das Neves,Faculdade,Rn
Ceddu - Centro De Ensino Superior,Ceddu,Al
Cenac - Centro De Ensino Nacional,,Sp
Centro De Educacao Da Amazonia,Ceama,Pa
Centro De Educacao Superior - Unica,Unica,Null
Centro De Educacao Superior Barnabita,Cesb,Mg
Centro De Educacao Superior Da Foz Do Itajai - Cesfi,Cesfi,Sc
Centro De Educacao Superior De Blumenau,Cesblu,Sc
Centro De Educacao Tecnica Da Utramig,Utramig,Mg
Centro De Educacao Tecnologico,Cet,Pi
Centro De Educacao Tecnologico Da Fundacao Indaiatubana De Educacao E Cultura,Fiec,Sp
Centro De Ensino E Pesquisa Do Pro-Cardiaco,Procep,Rj
Centro De Ensino Superior Arcanjo Mikael De Arapiraca,Cesama,Al
Centro De Ensino Superior Cenecista De Farroupilha,Cesf,Rs
Centro De Ensino Superior Cesul,Cesul,Pr
Centro De Ensino Superior De Altamira,,Pa
Centro De Ensino Superior De Arcoverde,Cesa,Pe
Centro De Ensino Superior De Bacabeira,Cesba,Ma
Centro De Ensino Superior De Catalao,,Go
Centro De Ensino Superior De Catalao 1,Cesuc,Go
Centro De Ensino Superior De Conselheiro Lafaiete,Ces-Cl,Mg
Centro De Ensino Superior De Contagem,,Mg
Centro De Ensino Superior De Divinopolis,,Mg
Centro De Ensino Superior De Ilheus,Cesupi,Ba
Centro De Ensino Superior De Itabira,Censi,Mg
Centro De Ensino Superior De Jatai,Cesut,Go
Centro De Ensino Superior De Juiz De Fora,Ces/Jf,Mg
Centro De Ensino Superior De Lorena,,Sp
Centro De Ensino Superior De Nova Serrana,,Mg
Centro De Ensino Superior De Palmas,Cesup,To
Centro De Ensino Superior De Serra Dourada,,Sp
Centro De Ensino Superior De Sete Lagoas,,Mg
Centro De Ensino Superior De Uberaba,Cesube,Mg
Centro De Ensino Superior De Vitoria,Cesv,Es
Centro De Ensino Superior Do Amapa,Ceap,Ap
Centro De Ensino Superior Do Tocantins,,Null
Centro De Ensino Superior Do Vale Do Parnaiba,Cesvale,Pi
Centro De Ensino Superior Do Vale Do Sao Francisco,Cesvasf,Pe
Centro De Ensino Superior Do Vale Sao Francisco,Cesvasf,Pe
Centro De Ensino Superior Dos Campos Gerais,Cescage,Pr
Centro De Ensino Superior Riograndense,Cesurg,Rs
Centro De Ensino Superior Riograndense Guapore,Cesurg Guapore,Rs
Centro De Ensino Superior Sociesc De Jaragua Do Sul,,Sc
Centro De Ensino Superior Sociesc De Sao Bento Do Sul,,Sc
Centro De Ensino Unificado De Teresina,Ceut,Pi
Centro De Ensino Unificado Do Piaui,Ceupi,Pi
Centro De Estudos De Pessoal E Forte Duque De Caxias,Cep,Rj
Centro De Estudos Em Direito E Negocios,,Mg
Centro De Estudos Superiores Aprendiz,Cesa,Mg
Centro De Estudos Superiores De Jatai,,Go
Centro De Estudos Superiores De Maceio,Cesmac,Al
"Centro De Formacao, Treinamento E Aperfeicoamento",Cefor,Df
Centro De Instrucao Almirante Braz De Aguiar,Ciaba,Pa
Centro De Instrucao Almirante Graca Aranha,Ciaga,Rj
Centro De Instrucao De Aviacao Do Exercito,Ciavex,Sp
Centro De Instrucao De Guerra Eletronica,Cige,Df
"Centro De Medicina Especializada, Pesquisa E Ensino",Cemepe,Mg
Centro Educacional Conceicao Nunes,Cecon,Mg
Centro Educacional Em Aeronautica,Cea,Mg
Centro Federal De Educacao Tecnologica Celso Suckow Da Fonseca,Cefet/Rj,Rj
Centro Federal De Educacao Tecnologica De Bambui,Cefet-Bambui,Null
Centro Federal De Educacao Tecnologica De Cuiaba,Null,Mt
Centro Federal De Educacao Tecnologica De Minas Gerais,Cefet/Mg,Mg
Centro Federal De Educacao Tecnologica De Rio Verde,Cefet-Rio Verde,Go
Centro Federal De Educacao Tecnologica De Sao Vicente Do Sul,Cefetsvs,Null
Centro Regional Universitario De Espirito Santo Do Pinhal,Unipinhal,Sp
Centro Superior De Ensino E Pesquisa De Machado,Cesep,Mg
Centro Superior De Estudos Juridicos Carlos Drummond De Andrade,Csejcda,Sp
Centro Superior Una De Catalao,Unacat,Null
Centro Tecnico-Educacional Superior Do Oeste Paranaense,Ctesop,Pr
Centro Tecnologico Positivo,Ctpositivo,Pr
Centro Univeristario Da Faculdade Estacio De Sa De Belo Horizonte,Fesbh,Mg
Centro Universiario Uniftc,Null,Ba
Centro Universiario Uniftc Salvador,Null,Ba
Centro Universitario - Catolica De Santa Catarina Em Jaragua Do Sul,Catolica Em Jaragua,Sc
Centro Universitario - Catolica De Santa Catarina Em Joinville,Catolica Em Joinvile,Sc
Centro Universitario - Uniesp,Uniesp,Pb
Centro Universitario Academia,Uniacademia,Mg
Centro Universitario Adventista De Sao Paulo,Unasp,Sp
Centro Universitario Aeso -  Barros Melo,Uniaeso,Pe
Centro Universitario Ages,Uniages,Ba
Centro Universitario Alfredo Nasser,Unifan,Go
Centro Universitario Alvares Penteado,Fecap,Sp
Centro Universitario Alves Faria,Unialfa,Go
Centro Universitario Amparense,Unifia,Sp
Centro Universitario Anhanguera,Unifian,Sp
Centro Universitario Anhanguera De Fortaleza,Unipitagoras,Ce
Centro Universitario Anhanguera De Maraba,Null,Pa
Centro Universitario Anhanguera De Niteroi,Unian,Rj
Centro Universitario Anhanguera De Sao Paulo,Unibero,Sp
Centro Universitario Anhanguera Pitagoras Ampli,Null,Sp
Centro Universitario Anhanguera Pitagoras Unopar De Campo Grande,,Ms
Centro Universitario Anhanguera Pitagoras Unopar De Niteroi,Unian-Rj,Rj
Centro Universitario Antonio Eufrasio De Toledo De Presidente Prudente,Fiaetpp,Sp
Centro Universitario Antonio Eufrasio De Toledo De Presidente Prudente - Toledo Prudente,Toledo Prudente,Sp
Centro Universitario Aparicio Carvalho,Null,Ro
Centro Universitario Araguaia,Uniaraguaia,Go
Centro Universitario Armando Alvares Penteado,Fa-Faap,Sp
Centro Universitario Arnaldo Horacio Ferreira,Null,Ba
Centro Universitario Arthur Sa Earp Neto,Unifase,Rj
Centro Universitario Assis Gurgacz,Fag,Pr
Centro Universitario Assuncao,Unifai,Sp
Centro Universitario Atenas,Uniatenas,Mg
Centro Universitario Ateneu,Null,Ce
Centro Universitario Augusto Motta,Unisuam,Rj
Centro Universitario Autonomo Do Brasil,Unibrasil,Pr
Centro Universitario Avantis,Uniavan,Sc
Centro Universitario Barao De Maua,Cbm,Sp
Centro Universitario Barriga Verde,Unibave,Sc
Centro Universitario Barriga Verde / Unibave Cocal Do Sul,Unibave,Sc
Centro Universitario Belas Artes De Sao Paulo,Febasp,Sp
Centro Universitario Brasileiro,Unibra,Pe
Centro Universitario Brasilia Do Estado De Goias,Unibrasilia,Go
Centro Universitario Braz Cubas,,Sp
Centro Universitario Cambury,Unicambury,Go
Centro Universitario Campo Limpo Paulista,Unifaccamp,Sp
Centro Universitario Campo Real,Null,Pr
Centro Universitario Campos De Andrade,Uniandrade,Pr
Centro Universitario Candido Rondon,Unirondon,Mt
Centro Universitario Carioca,Unicarioca,Rj
Centro Universitario Carlos Drummond De Andrade,Unidrummond,Sp
Centro Universitario Castelo Branco,Unicb,Es
Centro Universitario Cathedral,Null,Mt
Centro Universitario Catolica De Quixada,Unicatolica,Ce
Centro Universitario Catolica Do Leste De Minas Gerais,Unileste,Mg
Centro Universitario Catolica Do Tocantins,Unicatolica,To
Centro Universitario Catolico Do Sudoeste Do Parana,Unics,Null
Centro Universitario Catolico Salesiano Auxilium,Unisalesiano,Sp
Centro Universitario Celso Lisboa,Ucl,Rj
Centro Universitario Cenecista De Osorio,Unicnec,Rs
Centro Universitario Central Paulista,Unicep,Sp
Centro Universitario Cesmac,Cesmac,Al
Centro Universitario Cesuca,Null,Rs
Centro Universitario Ceuni - Fametro,Fametro,Am
Centro Universitario Christus,Unichristus,Ce
Centro Universitario Cidade Verde,Unicv,Pr
Centro Universitario Claretiano,Ceuclar,Sp
Centro Universitario Cnec De Bento Goncalves,Null,Rs
Centro Universitario Curitiba,Unicuritiba,Pr
Centro Universitario Da Amazonia,Unama,Pa
Centro Universitario Da Cidade,Univercidade,Rj
Centro Universitario Da Cidade Do Rio De Janeiro,Univercidade,Rj
Centro Universitario Da Fundacao Educacional De Barretos,Unifeb,Sp
Centro Universitario Da Fundacao Educacional Guaxupe,Unifeg,Mg
Centro Universitario Da Fundacao Educacional Inaciana Pe Saboia De Medeiros,Fei,Sp
Centro Universitario Da Fundacao Herminio Ometto,Fho,Sp
Centro Universitario Da Grande Dourados,Unigran,Ms
Centro Universitario Da Grande Fortaleza,Unigrande,Ce
Centro Universitario Da Industria,Unindus,Pr
Centro Universitario Da Regiao Da Campanha,Null,Rs
Centro Universitario Da Serra Gaucha,Fsg,Rs
Centro Universitario Da Vitoria De Santo Antao,Univisa,Pe
Centro Universitario Dante,Unidante,Sc
Centro Universitario Das Americas,Cam,Sp
Centro Universitario Das Faculdades Associadas De Ensino,Unifae,Sp
Centro Universitario Das Faculdades Associadas De Ensino - Fae,Unifae,Sp
Centro Universitario Das Faculdades Integradas De Ourinhos,Unifio,Sp
Centro Universitario Das Faculdades Metropolitanas Unidas,Fmu,Sp
Centro Universitario De Adamantina,Fai,Sp
Centro Universitario De Anapolis,Unievangelica,Go
Centro Universitario De Araraquara,Uniara,To
Centro Universitario De Araras -,Unar,Sp
Centro Universitario De Araras - Dr. Edmundo Ulson,Unar,Sp
Centro Universitario De Barra Mansa,Ubm,Rj
Centro Universitario De Bauru,,Sp
Centro Universitario De Belford Roxo,Uniabeu,Rj
Centro Universitario De Belo Horizonte,Uni-Bh,Mg
Centro Universitario De Brasilia,Uniceub,Df
Centro Universitario De Brusque,Unifebe,Sc
Centro Universitario De Campo Grande,Unaes,Ms
Centro Universitario De Caratinga,Unec,Mg
Centro Universitario De Ciencias E Empreendedorismo,Unifacemp,Ba
Centro Universitario De Ciencias E Tecnologia Do Maranhao,Unifacema,Ma
Centro Universitario De Desenvolvimento Do Centro Oeste,Unidesc,Go
Centro Universitario De Ensino Superior Do Amazonas,Ciesa,Am
"Centro Universitario De Ensino, Ciencia E Tecnologia Do Parana",Uniensino,Pr
Centro Universitario De Excelencia,Unex,Ba
Centro Universitario De Excelencia Eniac,Eniac,Sp
Centro Universitario De Formiga,Uniformg,Mg
Centro Universitario De Franca,Null,Null
Centro Universitario De Goiania,Uniceug,Go
Centro Universitario De Goias,Unigoias,Go
Centro Universitario De Goiatuba,Unicerrado,Go
Centro Universitario De Itajuba,Fepi,Mg
Centro Universitario De Itapira Uniesi,Uniesi,Sp
Centro Universitario De Jaguariuna,Unifaj,Sp
Centro Universitario De Jales,Unijales,Sp
Centro Universitario De Jaragua Do Sul,Unerj,Sc
Centro Universitario De Joao Pessoa,Unipe,Pb
Centro Universitario De Lavras,Unilavras,Mg
Centro Universitario De Lins,Unilins,Sp
Centro Universitario De Mandaguari - Uniman,Fafiman,Pr
Centro Universitario De Maringa,Cesumar,Pr
Centro Universitario De Mineiros,Unifimes,Go
Centro Universitario De Pato Branco,Unidep,Pr
Centro Universitario De Patos,Unifip,Pb
Centro Universitario De Patos De Minas,Unipam,Mg
Centro Universitario De Paulinia,Unifacp,Sp
Centro Universitario De Rio Preto,Unirp,Sp
Centro Universitario De Rondonia,Unesc,Ro
Centro Universitario De Salvador,Uniceusa,Ba
